index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
1;Vincent;GUILLERMIN;homme;;001-01;LRM;;Ensemble ! (Majorité présidentielle);
2;Éric;LAHY;homme;;001-01;LO;;Divers extrême gauche;
3;Xavier;BRETON;homme;checked;001-01;LR;;Les Républicains;
4;Brigitte;PIROUX GIANNOTTI;femme;;001-01;RN;;Rassemblement National;
5;Michael;MENDES;homme;;001-01;DLF;;Droite souverainiste;
6;Julien;BELLON;homme;;001-01;Reconquête;;Reconquête !;
7;Eliane;ARMENJON;femme;;001-01;Parti animaliste;;Ecologistes;
8;Sébastien;GUÉRAUD;homme;;001-01;PS;;Parti socialiste;
9;Lumir;LAPRAY;femme;;001-02;EE-LV;;Ecologistes;https://twitter.com/lumirlapray
10;Romain;DAUBIÉ;homme;;001-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
11;Vincent;GOUTAGNY;homme;;001-02;LO;;Divers extrême gauche;
12;Denis;BARATAY;homme;;001-02;MdR;;Divers droite;
13;Alexandre;NANCHI;homme;;001-02;LR;;Les Républicains;
14;Alexandre;COSTA;homme;;001-02;Reconquête;;Reconquête !;
15;Colin;MARTET;homme;;001-02;SOUV;;Divers;
16;Thomas;IGLÉSIS;homme;;001-02;Parti animaliste;;Ecologistes;
17;Olivier;EYRAUD;homme;;001-02;RN;;Rassemblement National;
18;Delphine;CARRIER;femme;;001-02;Patriotes;;Droite souverainiste;
19;Karine;DUBARRY;femme;;001-03;Reconquête;;Reconquête !;
20;Thierry;VERGNAS;homme;;001-03;DLF;;Droite souverainiste;
21;Olga;GIVERNET;femme;;001-03;LRM;;Ensemble ! (Majorité présidentielle);
22;Maxence;FERTE;homme;;001-03;DIV;;Divers;
23;Frédéric;FRANCK;homme;;001-03;RN;;Rassemblement National;
24;Christian;JOLIE;homme;;001-03;LFI;;La France Insoumise;
25;Véronique;BAUDE;femme;;001-03;LR;;Les Républicains;
26;Jean-Loup;KASTLER;homme;;001-03;FGR;;Ecologistes;
27;Fulgence;KOUASSI;homme;;001-03;DIV;;Divers;
28;Cécile;MAISONNETTE;femme;;001-03;LO;;Divers extrême gauche;
29;Marine;MORVAN LEMBERT;femme;;001-03;Parti animaliste;;Ecologistes;
30;Frank;BISETTI;homme;;001-03;Parti pirate;;Divers centre;
31;Aurane;REIHANIAN;homme;;001-04;LR;;Les Républicains;
32;Alban;DEFRASNE;homme;;001-04;Parti pirate;;Divers gauche;
33;Nicolas;FAVRE;homme;;001-04;Parti animaliste;;Ecologistes;
34;Jérôme;BUISSON;homme;;001-04;RN;;Rassemblement National;
35;Sylvain;COUSSON;homme;;001-04;LO;;Divers extrême gauche;
36;Ali;BENMEDJAHED;homme;;001-04;PRG;;Parti radical de gauche;
37;Philippe;LERDA;homme;;001-04;LFI;;La France Insoumise;
38;Benoît;DE BOYSSON;homme;;001-04;Reconquête;;Reconquête !;
39;Sacha;FORCA;homme;;001-04;MdR;;Divers droite;
40;Isabelle;SEGUIN;femme;;001-04;LRM;;Ensemble ! (Majorité présidentielle);
41;Annick;VEILLEROT;femme;;001-04;DLF;;Droite souverainiste;
42;Stéphane;TROMPILLE;homme;checked;001-04;LRM;checked;Divers centre;
43;Philippe;TOURNIER-BILLON;homme;;001-05;Reconquête;;Reconquête !;
44;Grégory;FABRIS;homme;;001-05;Patriotes;;Droite souverainiste;
45;Celil;YILMAZ;homme;;001-05;DIV;;Divers;
46;Damien;ABAD;homme;checked;001-05;DVD;;Divers droite;https://twitter.com/damienabad
47;Florence;PISANI;femme;;001-05;LFI;;La France Insoumise;
48;Stéphanie;PARIS;femme;;001-05;MdR;;Divers droite;
49;Joëlle;NAMBOTIN;femme;;001-05;RN;;Rassemblement National;
50;Sylvie;CROZET;femme;;001-05;LO;;Divers extrême gauche;
51;Jean-Michel;BOULMÉ;homme;;001-05;EXG;;Divers gauche;
52;Julien;MARTINEZ;homme;;001-05;LR;;Les Républicains;
53;Aude;BONO-VANDORME;femme;checked;002-01;LRM;;Ensemble ! (Majorité présidentielle);
54;Benjamin;CAUCHY;homme;;002-01;Reconquête;;Reconquête !;
55;Jean-Loup;PERNELLE;homme;;002-01;LO;;Divers extrême gauche;
56;Olivier;FENIOUX;homme;;002-01;LFI;;La France Insoumise;
57;Carole;RIBEIRO;femme;;002-01;DVD;;Divers droite;
58;Michel;DEGOUY;homme;;002-01;DLF;;Droite souverainiste;
59;Nicolas;DRAGON;homme;;002-01;RN;;Rassemblement National;
60;Paul;MOUGENOT;homme;;002-01;LR;;Les Républicains;
61;Sulyvan;RANSQUIN;homme;;002-02;LFI;;La France Insoumise;
62;Julien;DIVE;homme;;002-02;LR;;Les Républicains;
63;Anne;ZANDITÉNAS;femme;;002-02;LO;;Divers extrême gauche;
64;Lola;PUISSANT;femme;;002-02;RN;;Rassemblement National;
65;Fatima;EL OUASDI;femme;;002-02;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
66;Eric;LEPEUPLE;homme;;002-02;DVG;;Divers;
67;Corinne;BÉCOURT;femme;;002-02;PCF;checked;Divers gauche;
68;Cécé;AMEWOUI;femme;;002-02;Reconquête;;Reconquête !;
69;Laetitia;VOISIN;femme;;002-03;LO;;Divers extrême gauche;
70;Hervé;BERNARDEAU;homme;;002-03;Reconquête;;Reconquête !;
71;Paul-Henry;HANSEN-CATTA;homme;;002-03;RN;;Rassemblement National;
72;Jérome;MOINEUSE;homme;;002-03;LR;;Les Républicains;
73;Agnès;CHOTIN;femme;;002-03;Patriotes;;Droite souverainiste;
74;Jean-Louis;BRICOUT;homme;checked;002-03;PS;;Divers gauche;https://twitter.com/jlbricout
75;José;BEAURAIN;homme;;002-04;RN;;Rassemblement National;
76;Aurélien;GALL;homme;;002-04;PCF;;Parti communiste français;https://twitter.com/Gall_PCF02
77;David;BOBIN;homme;;002-04;LR;;Les Républicains;
78;Vanessa;VICENTE;femme;;002-04;Reconquête;;Reconquête !;
79;Flora;BOUILLAGUET;femme;;002-04;LO;;Divers extrême gauche;
80;Marc;DELATTE;homme;;002-04;LRM;;Ensemble ! (Majorité présidentielle);
81;Damien;CRÉON;homme;;002-04;DLF;;Droite souverainiste;
82;Francis;GARCIA;homme;;002-05;LO;;Divers extrême gauche;
83;Sébastien;EUGÈNE;homme;;002-05;DVC;;Divers centre;
84;Jeanne;ROUSSEL;femme;;002-05;LRM;;Ensemble ! (Majorité présidentielle);
85;Jocelyn;DESSIGNY;homme;;002-05;RN;;Rassemblement National;
86;Florence;TRIBOULET;femme;;002-05;Reconquête;;Reconquête !;
87;Françoise;VACCA;femme;;002-05;Parti animaliste;;Ecologistes;
88;Stéphane;FRERE;homme;;002-05;LFI;;La France Insoumise;
89;Joffrey;BOLLÉE;homme;;002-05;Patriotes;;Droite souverainiste;
90;Jade;GILQUIN;femme;;002-05;LR;;Les Républicains;
