circonscription;index;prenom;nom;sortante;score_percent;qualif_tour2;parti;dissidence;index
001-01;1;Vincent;GUILLERMIN;;0,00;;LRM;;1
001-01;2;Éric;LAHY;;0,00;;LO;;2
001-01;3;Xavier;BRETON;checked;0,00;;LR;;3
001-01;4;Brigitte;PIROUX GIANNOTTI;;0,00;;RN;;4
001-01;5;Michael;MENDES;;0,00;;DLF;;5
001-01;6;Julien;BELLON;;0,00;;Reconquête;;6
001-01;7;Eliane;ARMENJON;;0,00;;Parti animaliste;;7
001-01;8;Sébastien;GUÉRAUD;;0,00;;PS;;8
001-02;9;Lumir;LAPRAY;;0,00;;EE-LV;;9
001-02;10;Romain;DAUBIÉ;;0,00;;MDM,LRM;;10
001-02;11;Vincent;GOUTAGNY;;0,00;;LO;;11
001-02;12;Denis;BARATAY;;0,00;;MdR;;12
001-02;13;Alexandre;NANCHI;;0,00;;LR;;13
001-02;14;Alexandre;COSTA;;0,00;;Reconquête;;14
001-02;15;Colin;MARTET;;0,00;;SOUV;;15
001-02;16;Thomas;IGLÉSIS;;0,00;;Parti animaliste;;16
001-02;17;Olivier;EYRAUD;;0,00;;RN;;17
001-02;18;Delphine;CARRIER;;0,00;;Patriotes;;18
001-03;19;Karine;DUBARRY;;0,00;;Reconquête;;19
001-03;20;Thierry;VERGNAS;;0,00;;DLF;;20
001-03;21;Olga;GIVERNET;;0,00;;LRM;;21
001-03;22;Maxence;FERTE;;0,00;;DIV;;22
001-03;23;Frédéric;FRANCK;;0,00;;RN;;23
001-03;24;Christian;JOLIE;;0,00;;LFI;;24
001-03;25;Véronique;BAUDE;;0,00;;LR;;25
001-03;26;Jean-Loup;KASTLER;;0,00;;FGR;;26
001-03;27;Fulgence;KOUASSI;;0,00;;DIV;;27
001-03;28;Cécile;MAISONNETTE;;0,00;;LO;;28
001-03;29;Marine;MORVAN LEMBERT;;0,00;;Parti animaliste;;29
001-03;30;Frank;BISETTI;;0,00;;Parti pirate;;30
001-04;31;Aurane;REIHANIAN;;0,00;;LR;;31
001-04;32;Alban;DEFRASNE;;0,00;;Parti pirate;;32
001-04;33;Nicolas;FAVRE;;0,00;;Parti animaliste;;33
001-04;34;Jérôme;BUISSON;;0,00;;RN;;34
001-04;35;Sylvain;COUSSON;;0,00;;LO;;35
001-04;36;Ali;BENMEDJAHED;;0,00;;PRG;;36
001-04;37;Philippe;LERDA;;0,00;;LFI;;37
001-04;38;Benoît;DE BOYSSON;;0,00;;Reconquête;;38
001-04;39;Sacha;FORCA;;0,00;;MdR;;39
001-04;40;Isabelle;SEGUIN;;0,00;;LRM;;40
001-04;41;Annick;VEILLEROT;;0,00;;DLF;;41
001-04;42;Stéphane;TROMPILLE;checked;0,00;;LRM;checked;42
001-05;43;Philippe;TOURNIER-BILLON;;0,00;;Reconquête;;43
001-05;44;Grégory;FABRIS;;0,00;;Patriotes;;44
001-05;45;Celil;YILMAZ;;0,00;;DIV;;45
001-05;46;Damien;ABAD;checked;0,00;;DVD;;46
001-05;47;Florence;PISANI;;0,00;;LFI;;47
001-05;48;Stéphanie;PARIS;;0,00;;MdR;;48
001-05;49;Joëlle;NAMBOTIN;;0,00;;RN;;49
001-05;50;Sylvie;CROZET;;0,00;;LO;;50
001-05;51;Jean-Michel;BOULMÉ;;0,00;;EXG;;51
001-05;52;Julien;MARTINEZ;;0,00;;LR;;52
002-01;53;Aude;BONO-VANDORME;checked;0,00;;LRM;;53
002-01;54;Benjamin;CAUCHY;;0,00;;Reconquête;;54
002-01;55;Jean-Loup;PERNELLE;;0,00;;LO;;55
002-01;56;Olivier;FENIOUX;;0,00;;LFI;;56
002-01;57;Carole;RIBEIRO;;0,00;;DVD;;57
002-01;58;Michel;DEGOUY;;0,00;;DLF;;58
002-01;59;Nicolas;DRAGON;;0,00;;RN;;59
002-01;60;Paul;MOUGENOT;;0,00;;LR;;60
002-02;61;Sulyvan;RANSQUIN;;0,00;;LFI;;61
002-02;62;Julien;DIVE;;0,00;;LR;;62
002-02;63;Anne;ZANDITÉNAS;;0,00;;LO;;63
002-02;64;Lola;PUISSANT;;0,00;;RN;;64
002-02;65;Fatima;EL OUASDI;;0,00;;Horizons,LRM;;65
002-02;66;Eric;LEPEUPLE;;0,00;;DVG;;66
002-02;67;Corinne;BÉCOURT;;0,00;;PCF;checked;67
002-02;68;Cécé;AMEWOUI;;0,00;;Reconquête;;68
002-03;69;Laetitia;VOISIN;;0,00;;LO;;69
002-03;70;Hervé;BERNARDEAU;;0,00;;Reconquête;;70
002-03;71;Paul-Henry;HANSEN-CATTA;;0,00;;RN;;71
