Num_Circo;Nom;Prenom;Nb_Voix;Prenom_Nom;sexe
001-01;BRETON;Xavier;24407;Xavier_BRETON;homme
001-01;GUÉRAUD;Sébastien;0;;
001-02;DAUBIÉ;Romain;24960;Romain_DAUBIÉ;homme
001-02;LAPRAY;Lumir;0;;
001-03;GIVERNET;Olga;18398;Olga_GIVERNET;femme
001-03;JOLIE;Christian;0;;
001-04;BUISSON;Jérôme;22601;Jérôme_BUISSON;homme
001-04;LERDA;Philippe;0;;
001-05;ABAD;Damien;17687;Damien_ABAD;homme
001-05;PISANI;Florence;0;;
002-01;DRAGON;Nicolas;17058;Nicolas_DRAGON;homme
002-01;BONO-VANDORME;Aude;0;;
002-02;DIVE;Julien;17463;Julien_DIVE;homme
002-02;PUISSANT;Lola;0;;
002-03;BRICOUT;Jean-Louis;15586;Jean-Louis_BRICOUT;homme
002-03;HANSEN-CATTA;Paul-Henry;0;;
002-04;BEAURAIN;José;17587;José_BEAURAIN;homme
002-04;DELATTE;Marc;0;;
002-05;DESSIGNY;Jocelyn;20589;Jocelyn_DESSIGNY;homme
002-05;FRERE;Stéphane;0;;
003-01;MONNET;Yannick;21832;Yannick_MONNET;homme
003-01;BARBARIN;Michel;0;;
003-02;BOVET;Jorys;16116;Jorys_BOVET;homme
003-02;HERITIER;Louise;0;;
003-03;RAY;Nicolas;19296;Nicolas_RAY;homme
003-03;PEYROL;Bénédicte;0;;
004-01;GIRARD;Christian;14791;Christian_GIRARD;homme
004-01;BAGARRY;Delphine;0;;
004-02;WALTER;Léo;16063;Léo_WALTER;homme
004-02;CASTANER;Christophe;0;;
005-01;BOYER;Pascale;13767;Pascale_BOYER;femme
005-01;PHILIPPO;Michel;0;;
005-02;GIRAUD;Joel;15058;Joel_GIRAUD;homme
005-02;MOUNAL;Capucine;0;;
006-01;CIOTTI;Eric;17737;Eric_CIOTTI;homme
006-01;MONETTI;Graig;0;;
006-02;TIVOLI;Lionel;18557;Lionel_TIVOLI;homme
006-02;DOMBREVAL;Loïc;0;;
006-03;PRADAL;Philippe;19043;Philippe_PRADAL;homme
006-03;GIUSTI;Enzo;0;;
006-04;MASSON;Alexandra;19487;Alexandra_MASSON;femme
006-04;VALETTA-ARDISSON;Alexandra;0;;
006-05;D'INTORNI;Christelle;19814;Christelle_D'INTORNI;femme
006-05;BRENIER-OHANESSIAN;Marine;0;;
006-06;MASSON;Bryan;17564;Bryan_MASSON;homme
006-06;MION;Jean-Bernard;0;;
006-07;PAUGET;Eric;22496;Eric_PAUGET;homme
006-07;MELE;Eric;0;;
006-08;MARTIN;Alexandra;21547;Alexandra_MARTIN;femme
006-08;DESENS;Jean-Valéry;0;;
006-09;TABAROT;Michèle;19955;Michèle_TABAROT;femme
006-09;GALBERT;Franck;0;;
007-01;SAULIGNAC;Hervé;21550;Hervé_SAULIGNAC;homme
007-01;PORQUET;Céline;0;;
007-02;DUSSOPT;Olivier;25684;Olivier_DUSSOPT;homme
007-02;GOULOUZELLE;Christophe;0;;
007-03;BRUN;Fabrice;24896;Fabrice_BRUN;homme
007-03;PALLOT;Florence;0;;
008-01;VUIBERT;Lionel;14861;Lionel_VUIBERT;homme
008-01;RICHARD;Laurent;0;;
008-02;CORDIER;Pierre;15977;Pierre_CORDIER;homme
008-02;PHILIPPO;Baptiste;0;;
008-03;WARSMANN;Jean-Luc;15575;Jean-Luc_WARSMANN;homme
008-03;LEMOINE;David;0;;
009-01;TAURINE;Bénédicte;14746;Bénédicte_TAURINE;femme
009-01;TRIBOUT;Anne-Sophie;0;;
009-02;PANIFOUS;Laurent;16225;Laurent_PANIFOUS;homme
009-02;LARIVE;Michel;0;;
010-01;GUITTON;Jordan;16093;Jordan_GUITTON;homme
010-01;BESSON-MOREAU;Grégory;0;;
010-02;BAZIN-MALGRAS;Valérie;19730;Valérie_BAZIN-MALGRAS;femme
010-02;HENRY;Evelyne;0;;
010-03;RANC;Angélique;13913;Angélique_RANC;femme
010-03;BEURY;Loëtitia;0;;
011-01;BARTHÈS;Christophe;23914;Christophe_BARTHÈS;homme
011-01;COURRIÈRE CALMON;Sophie;0;;
011-02;FALCON;Frédéric;20719;Frédéric_FALCON;homme
011-02;PEREA;Alain;0;;
011-03;RANCOULE;Julien;22725;Julien_RANCOULE;homme
011-03;ADDA--NETTER;Johanna;0;;
012-01;MAZARS;Stéphane;23137;Stéphane_MAZARS;homme
012-01;THEBAULT;Léon;0;;
012-02;ALEXANDRE;Laurent;17352;Laurent_ALEXANDRE;homme
012-02;DEGUARA;Samuel;0;;
012-03;ROUSSET;Jean-François;18835;Jean-François_ROUSSET;homme
012-03;RHIN;Michel;0;;
013-01;AGRESTI ROUBACHE;Sabrina;15459;Sabrina_AGRESTI ROUBACHE;femme
013-01;GRISETI;Monique;0;;
013-02;PITOLLAT;Claire;22005;Claire_PITOLLAT;femme
013-02;RUPNIK;Alexandre;0;;
013-03;LELOUIS;Gisèle;14300;Gisèle_LELOUIS;femme
013-03;BENSAADA;Mohamed;0;;
013-04;BOMPARD;Manuel;17118;Manuel_BOMPARD;homme
013-04;AKODAD;Najat;0;;
013-05;DAVI;Hendrik;17295;Hendrik_DAVI;homme
013-05;RACON-BOUZON;Cathy;0;;
013-06;ROYER-PERREAUT;Lionel;16646;Lionel_ROYER-PERREAUT;homme
013-06;BEZ;Éléonore;0;;
013-07;DELOGU;Sébastien;11960;Sébastien_DELOGU;homme
013-07;SELLOUM;Arezki;0;;
013-08;ZULESI;Jean-Marc;22823;Jean-Marc_ZULESI;homme
013-08;TONUSSI;Romain;0;;
013-09;MÉLIN;Joëlle;23757;Joëlle_MÉLIN;femme
013-09;TROTTMANN;Lucas;0;;
013-10;GONZALEZ;José;27463;José_GONZALEZ;homme
013-10;MESURE;Marina;0;;
013-11;LAQHILA;Mohamed;20753;Mohamed_LAQHILA;homme
013-11;FABRE-AUBRESPY;Hervé;0;;
013-12;ALLISIO;Franck;19175;Franck_ALLISIO;homme
013-12;DIARD;Eric;0;;
013-13;DHARRÉVILLE;Pierre;20105;Pierre_DHARRÉVILLE;homme
013-13;FOUQUART;Emmanuel;0;;
013-14;PETEL;Anne-Laurence;24245;Anne-Laurence_PETEL;femme
013-14;LE CACHEUX;Hélène;0;;
013-15;BAUBRY;Romain;25640;Romain_BAUBRY;homme
013-15;ANZALONE;Marie-Laurence;0;;
013-16;TACHE DE LA PAGERIE;Emmanuel;20820;Emmanuel_TACHE DE LA PAGERIE;homme
013-16;CAILLAULT;Christophe;0;;
014-01;LE VIGOUREUX;Fabrice;18496;Fabrice_LE VIGOUREUX;homme
014-01;FOURREAU;Emma;0;;
014-02;DELAPORTE;Arthur;18963;Arthur_DELAPORTE;homme
014-02;DUMONT PRIEUX;Sylvie;0;;
014-03;PATRIER-LEITUS;Jérémie;18545;Jérémie_PATRIER-LEITUS;homme
014-03;VILMET;Martine;0;;
014-04;BLANCHET;Christophe;28920;Christophe_BLANCHET;homme
014-04;MOURARET;Pierre;0;;
014-05;BOUYX;Bertrand;24235;Bertrand_BOUYX;homme
014-05;HAREL;Valérie;0;;
014-06;BORNE;Elisabeth;23435;Elisabeth_BORNE;femme
014-06;GAUCHARD;Noé;0;;
015-01;DESCOEUR;Vincent;18165;Vincent_DESCOEUR;homme
015-01;TEYSSEDOU;Michel;0;;
015-02;BONY;Jean-Yves;15443;Jean-Yves_BONY;homme
015-02;GUIBERT;Martine;0;;
016-01;MESNIER;Thomas;18854;Thomas_MESNIER;homme
016-01;PILATO;René;0;;
016-02;MARSAUD;Sandra;19964;Sandra_MARSAUD;femme
016-02;RAPPASSE;Marceau;0;;
016-03;COLOMBIER;Caroline;19980;Caroline_COLOMBIER;femme
016-03;MOCOEUR;Sylvie;0;;
017-01;FALORNI;Olivier;34576;Olivier_FALORNI;homme
017-01;SOUBESTE;Jean-Marc;0;;
017-02;BABAULT;Anne-Laure;25863;Anne-Laure_BABAULT;femme
017-02;RAYMOND;Nordine;0;;
017-03;ARDOUIN;Jean-Philippe;18295;Jean-Philippe_ARDOUIN;homme
017-03;COLLARD;Nathalie;0;;
017-04;GERARD;Raphaël;21447;Raphaël_GERARD;homme
017-04;MARKOWSKY;Pascal;0;;
017-05;PLASSARD;Christophe;28233;Christophe_PLASSARD;homme
017-05;WERBROUCK;Séverine;0;;
018-01;CORMIER BOULIGEON;François;17116;François_CORMIER BOULIGEON;homme
018-01;CHARPENTIER;Alex;0;;
018-02;SANSU;Nicolas;14433;Nicolas_SANSU;homme
018-02;POLY;Christine;0;;
018-03;KERVRAN;Loïc;20435;Loïc_KERVRAN;homme
018-03;DE LA TOCNAYE;Thibaut;0;;
019-01;DUBOIS;Francis;25825;Francis_DUBOIS;homme
019-01;DEVEAUD;Sandrine;0;;
019-02;MEUNIER;Frédérique;25881;Frédérique_MEUNIER;femme
019-02;HERZHAFT;Chloé;0;;
021-01;MARTIN;Didier;19473;Didier_MARTIN;homme
021-01;PEILLON;Antoine;0;;
021-02;BORDAT;Benoît;15715;Benoît_BORDAT;homme
021-02;HERVIEU;Catherine;0;;
021-03;KHATTABI;Fadila;14900;Fadila_KHATTABI;femme
021-03;MARC;Patricia;0;;
021-04;BRIGAND;Hubert;19291;Hubert_BRIGAND;homme
021-04;PONELLE;Jean-Marc;0;;
021-05;PARIS;Didier;20031;Didier_PARIS;homme
021-05;LIORET;René;0;;
022-01;COSSON;Mickaël;24865;Mickaël_COSSON;homme
